batch,length,heads,dim,BT,BS,BK,BV,DRAM->SRAM,SRAM->DRAM,MAC,SRAM-size,arithmetic-intensity
4,128,8,64,16,16,16,16,41943040,4194304,152043520,5376,6.590909090909091
4,128,8,64,16,16,16,32,30408704,4194304,113770496,7424,6.575757575757576
4,128,8,64,16,16,16,64,24641536,4194304,94633984,11520,6.5636363636363635
4,128,8,64,16,16,32,16,32505856,2097152,113770496,7424,6.575757575757576
4,128,8,64,16,16,32,32,20971520,2097152,75759616,9472,6.568181818181818
4,128,8,64,16,16,32,64,15204352,2097152,56754176,13568,6.5606060606060606
4,128,8,64,16,16,64,16,27787264,1048576,94633984,11520,6.5636363636363635
4,128,8,64,16,16,64,32,16252928,1048576,56754176,13568,6.5606060606060606
4,128,8,64,16,16,64,64,10485760,1048576,37814272,17664,6.556818181818182
4,128,8,64,32,32,16,16,25165824,4194304,169869312,13312,11.571428571428571
4,128,8,64,32,32,16,32,17825792,4194304,126877696,17408,11.523809523809524
4,128,8,64,32,32,16,64,14155776,4194304,105381888,25600,11.485714285714286
4,128,8,64,32,32,32,16,19922944,2097152,126877696,17408,11.523809523809524
4,128,8,64,32,32,32,32,12582912,2097152,84410368,21504,11.5
4,128,8,64,32,32,32,64,8912896,2097152,63176704,29696,11.476190476190476
4,128,8,64,32,32,64,16,17301504,1048576,105381888,25600,11.485714285714286
4,128,8,64,32,32,64,32,9961472,1048576,63176704,29696,11.476190476190476
4,128,8,64,32,32,64,64,6291456,1048576,42074112,37888,11.464285714285714
