batch,length,heads,dim,BK,BV,DRAM->SRAM,SRAM->DRAM,MAC,SRAM-size,arithmetic-intensity
1,32,8,64,16,16,786432,262144,2097152,1216,4.0
1,32,8,64,16,32,524288,262144,2097152,2304,5.333333333333333
1,32,8,64,16,64,393216,262144,2097152,4480,6.4
1,32,8,64,32,16,655360,131072,2097152,2368,5.333333333333333
1,32,8,64,32,32,393216,131072,2097152,4480,8.0
1,32,8,64,32,64,262144,131072,2097152,8704,10.666666666666666
1,32,8,64,64,16,589824,65536,2097152,4672,6.4
1,32,8,64,64,32,327680,65536,2097152,8832,10.666666666666666
1,32,8,64,64,64,196608,65536,2097152,17152,16.0
2,32,8,64,16,16,1572864,524288,4194304,1216,4.0
2,32,8,64,16,32,1048576,524288,4194304,2304,5.333333333333333
2,32,8,64,16,64,786432,524288,4194304,4480,6.4
2,32,8,64,32,16,1310720,262144,4194304,2368,5.333333333333333
2,32,8,64,32,32,786432,262144,4194304,4480,8.0
2,32,8,64,32,64,524288,262144,4194304,8704,10.666666666666666
2,32,8,64,64,16,1179648,131072,4194304,4672,6.4
2,32,8,64,64,32,655360,131072,4194304,8832,10.666666666666666
2,32,8,64,64,64,393216,131072,4194304,17152,16.0
4,64,8,64,16,16,6291456,2097152,16777216,1216,4.0
4,64,8,64,16,32,4194304,2097152,16777216,2304,5.333333333333333
4,64,8,64,16,64,3145728,2097152,16777216,4480,6.4
4,64,8,64,32,16,5242880,1048576,16777216,2368,5.333333333333333
4,64,8,64,32,32,3145728,1048576,16777216,4480,8.0
4,64,8,64,32,64,2097152,1048576,16777216,8704,10.666666666666666
4,64,8,64,64,16,4718592,524288,16777216,4672,6.4
4,64,8,64,64,32,2621440,524288,16777216,8832,10.666666666666666
4,64,8,64,64,64,1572864,524288,16777216,17152,16.0
4,128,8,64,16,16,12582912,4194304,33554432,1216,4.0
4,128,8,64,16,32,8388608,4194304,33554432,2304,5.333333333333333
4,128,8,64,16,64,6291456,4194304,33554432,4480,6.4
4,128,8,64,32,16,10485760,2097152,33554432,2368,5.333333333333333
4,128,8,64,32,32,6291456,2097152,33554432,4480,8.0
4,128,8,64,32,64,4194304,2097152,33554432,8704,10.666666666666666
4,128,8,64,64,16,9437184,1048576,33554432,4672,6.4
4,128,8,64,64,32,5242880,1048576,33554432,8832,10.666666666666666
4,128,8,64,64,64,3145728,1048576,33554432,17152,16.0
