batch,length,heads,dim,BK,BV,DRAM->SRAM,SRAM->DRAM,MAC,SRAM-size,arithmetic-intensity
1,32,8,64,16,16,786432,262144,2097152,1216,4.0
1,32,8,64,16,32,524288,262144,2097152,2304,5.333333333333333
1,32,8,64,16,64,393216,262144,2097152,4480,6.4
1,32,8,64,32,16,655360,131072,2097152,2368,5.333333333333333
1,32,8,64,32,32,393216,131072,2097152,4480,8.0
1,32,8,64,32,64,262144,131072,2097152,8704,10.666666666666666
1,32,8,64,64,16,589824,65536,2097152,4672,6.4
1,32,8,64,64,32,327680,65536,2097152,8832,10.666666666666666
1,32,8,64,64,64,196608,65536,2097152,17152,16.0
2,32,8,64,16,16,1572864,524288,4194304,1216,4.0
2,32,8,64,16,32,1048576,524288,4194304,2304,5.333333333333333
2,32,8,64,16,64,786432,524288,4194304,4480,6.4
2,32,8,64,32,16,1310720,262144,4194304,2368,5.333333333333333
2,32,8,64,32,32,786432,262144,4194304,4480,8.0
2,32,8,64,32,64,524288,262144,4194304,8704,10.666666666666666
2,32,8,64,64,16,1179648,131072,4194304,4672,6.4
2,32,8,64,64,32,655360,131072,4194304,8832,10.666666666666666
2,32,8,64,64,64,393216,131072,4194304,17152,16.0
2,64,8,64,16,16,3145728,1048576,8388608,1216,4.0
2,64,8,64,16,32,2097152,1048576,8388608,2304,5.333333333333333
2,64,8,64,16,64,1572864,1048576,8388608,4480,6.4
2,64,8,64,32,16,2621440,524288,8388608,2368,5.333333333333333
2,64,8,64,32,32,1572864,524288,8388608,4480,8.0
2,64,8,64,32,64,1048576,524288,8388608,8704,10.666666666666666
2,64,8,64,64,16,2359296,262144,8388608,4672,6.4
2,64,8,64,64,32,1310720,262144,8388608,8832,10.666666666666666
2,64,8,64,64,64,786432,262144,8388608,17152,16.0
